page,title,url,date
1,"킥보드 사고 예방…부산시의회, 개인형 이동장치 안전교육 조례",https://www.yna.co.kr/view/AKR20240425132000051?input=1195m,2일 전
1,전동 킥보드 타다 마주 오는 행인 숨지게 한 30대 공무원,https://www.news1.kr/articles/5390374,6일 전
1,"전동 킥보드 타다 보행자 쳐 숨지게 한 30대, 벌금 1000만원",http://www.edaily.co.kr/news/newspath.asp?newsid=01187366638858744,5일 전
1,"죽음을 부르는 위험천만 킥보드, 무면허에 보험 적용도 안 돼",https://woman.donga.com/3/all/12/4898572/1,3일 전
1,한밤중 헬멧도 없이 킥보드 타고 역주행하다 인도 경계석에 걸려 넘어진 남학생들 (영상),https://www.insight.co.kr/news/467415,2일 전
1,부딪치고 걸려 넘어지고…골칫거리 '무단방치 킥보드',https://view.asiae.co.kr/article/2024041817251735049,21면 1단
1,"[현장] 점자블록 전세 낸 전동 킥보드···규제 법안 허술 ""단속 어려워""",https://www.womaneconomy.co.kr/news/articleView.html?idxno=222849,2일 전
1,신촌 ‘차 없는 거리’…오토바이ㆍ킥보드ㆍ무단횡단 ‘횡행’,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202404251214131370705,1일 전
1,"빔모빌리티, 일산서부서와 협업…청소년 공유 킥보드 위험성 알려",https://www.gpkorea.com/news/articleView.html?idxno=113038,2일 전
1,송파구 '학교로 찾아는 전동 킥보드 교육' 11월까지 진행,https://www.news1.kr/articles/5390183,1주 전
2,"여친 흉기 살해 26세 김레아, 檢 얼굴 공개할 수 밖에 없었다?",https://www.ytn.co.kr/_ln/0103_202404231442432789,4일 전
2,"시흥시, 전동보조기기 이용자 배상책임보험 가입",https://www.joongboo.com/news/articleView.html?idxno=363648902,4일 전
2,"소방관 꿈꾸던 19세 청년, 킥보드 사고로 뇌사… 5명에게 새 생명을",https://health.chosun.com/site/data/html_dir/2024/04/15/2024041501481.html,1주 전
2,길가다 '멈칫' 여기저기 널린 전동 킥보드…견인은 왜 지자체 몫?,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5020157,1주 전
2,길가다 '멈칫' 여기저기 널린 전동 킥보드…견인은 왜 지자체 몫?,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=5020059,1주 전
2,"자동차보다 사람이 먼저...국토부, '사람 중심도로 설계기침' 해설편 배포",https://www.ajunews.com/view/20240423093818556,4일 전
2,"[뉴스딱] 킥보드 타고 ""비키세요!""…못 들은 60대 행인에 '쾅', 결국",https://news.sbs.co.kr/news/endPage.do?news_id=N1007620894&plink=ORI&cooper=NAVER,4일 전
2,공유 킥보드·자전거 불법 주정차 개선되나…대구시 PM 단속 팔 걷었다,https://www.imaeil.com/page/view/2024041617234744543,7면 1단
2,킥보드로 출퇴근 하는 직장인 늘었다,http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=11&c1=11&c2=11&c3=00&nkey=202404151252111,1주 전
2,전동 킥보드 몰던 40대 남성 주차된 화물차 들이받고 숨져,https://news.kbs.co.kr/news/pc/view/view.do?ncd=7929871&ref=A,3주 전
3,"킥보드 사고·사망↑…북구 김상태의원 ""전동킥보드 제도 정립해야""",https://www.news1.kr/articles/5390234,1주 전
3,"서울시 어린이 보호구역에 방치한 전동 킥보드, 견인해간다",https://www.chosun.com/national/national_general/2024/04/03/PCDMBLFHQ5HKTKMLQNUI4GOTPQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,3주 전
3,우리나라에서 전동 킥보드 사업은 불가능한가?,https://www.thedrive.co.kr/news/newsview.php?ncode=1065588060113073,7일 전
3,"여수시, 4월 15일부터 무단 방치 전동 킥보드 견인 조치",http://news.lghellovision.net/news/articleView.html?idxno=462582,2주 전
3,‘킥보드 사고 후 뇌사판정’…5명에게 새 생명 주고 떠난 대학생,https://www.kmib.co.kr/article/view.asp?arcid=0019998510&code=61121111&cp=nv,1주 전
3,"잇따르는 전동 킥보드 사고...""정부 적극 개입해야""",https://www.ytn.co.kr/_ln/0103_202404070519572456,2주 전
3,"청주시, 미래 교통 밑그림…계획과 과제는?",https://news.kbs.co.kr/news/pc/view/view.do?ncd=7934647&ref=A,2주 전
3,"[교통안전365] PM, 안전수칙 준수해 타고 계시나요?",https://www.ggilbo.com/news/articleView.html?idxno=1026001,4일 전
3,“자전거·킥보드 안전하게 타요”…서울 안전교육 참여자 따릉이 30% 감면,http://www.kukinews.com/newsView/kuk202404180030,1주 전
3,"통영시, 개인형 이동장치 안전사고 예방 캠페인 실시",http://www.metroseoul.co.kr/article/20240416500325,1주 전
4,"""전동킥보드 등 개인형 이동장치(PM) 안전 이용하세요""",https://www.newsis.com/view/?id=NISX20240403_0002685789&cID=10803&pID=14000,3주 전
4,"'음주 킥라니' 혼자 넘어지고 ""네가 나 쳤잖아"" 적반하장",https://www.newsis.com/view/?id=NISX20240409_0002694119&cID=50401&pID=50400,2주 전
4,"[영상] ""볼보 전동화 목표의 첨병""···EX30, 차별적 가격·성능으로 韓 정조준",https://www.sisajournal-e.com/news/articleView.html?idxno=402267,4일 전
4,"충남도의회, ""킥보드 사고 증가… 개인 이동장치 법률 제정해야""",https://www.gukjenews.com/news/articleView.html?idxno=2969405,1주 전
4,전동킥보드 사고 6년 만에 20배 늘었다…3년간 사망만 55명,https://www.hani.co.kr/arti/society/society_general/1134079.html,2024.03.27.
4,"청주시, 미래 교통 밑그림…계획과 과제",https://news.kbs.co.kr/news/pc/view/view.do?ncd=7934974&ref=A,2주 전
